Topic,Count,Name,Representation,Representative_Docs
-1,289,-1_每個人都會犯錯_就算真的目睹爸爸上銬_想要以退為進_結果表情洩露一切,"['每個人都會犯錯', '就算真的目睹爸爸上銬', '想要以退為進', '結果表情洩露一切', '也是爸爸確實犯錯在先啊', '誰幫他開診斷證明這更是重點吧', '以前是大平台', '讓他們在上面解決私怨', '他寧願花300萬也不去當兵', '也做過太多壞事']","['認了！Energy書偉、棒棒堂小杰坦承閃兵 各花15萬、30萬裝高血壓 王大陸閃兵一事先前在開庭時，因王的律師要求，當庭勘驗閃兵集團主嫌陳志明的手機，沒想到竟在對話紀錄中發現，陳嫌自誇曾成功幫助陳柏霖、修杰楷、Energy還有棒棒堂成員免服兵役，檢方深入追查案件細節後，才在今天將涉案人等傳喚到案。', '認了！Energy書偉、棒棒堂小杰坦承閃兵 各花15萬、30萬裝高血壓 王大陸閃兵一事先前在開庭時，因王的律師要求，當庭勘驗閃兵集團主嫌陳志明的手機，沒想到竟在對話紀錄中發現，陳嫌自誇曾成功幫助陳柏霖、修杰楷、Energy還有棒棒堂成員免服兵役，檢方深入追查案件細節後，才在今天將涉案人等傳喚到案。', '認了！Energy書偉、棒棒堂小杰坦承閃兵 各花15萬、30萬裝高血壓 王大陸閃兵一事先前在開庭時，因王的律師要求，當庭勘驗閃兵集團主嫌陳志明的手機，沒想到竟在對話紀錄中發現，陳嫌自誇曾成功幫助陳柏霖、修杰楷、Energy還有棒棒堂成員免服兵役，檢方深入追查案件細節後，才在今天將涉案人等傳喚到案。']"
0,88,0_你要自首_他會好好面對_就可以出來了_就是偽造文書和逃避兵役,"['你要自首', '他會好好面對', '就可以出來了', '就是偽造文書和逃避兵役', '套句網友說的', '當然要面對', '犯罪東窗事發了才在那邊', '會完全配合司法', '早該第一波', '還在得過且過']","['唉😮\u200d💨 真的⋯⋯  套句網友說的：就是偽造文書和逃避兵役。 他會好好面對 是檢警都要拘提了 當然要面對 你要自首 早該第一波 就可以出來了 還在得過且過……', '唉😮\u200d💨 真的⋯⋯  套句網友說的：就是偽造文書和逃避兵役。 他會好好面對 是檢警都要拘提了 當然要面對 你要自首 早該第一波 就可以出來了 還在得過且過……', '唉😮\u200d💨 真的⋯⋯  套句網友說的：就是偽造文書和逃避兵役。 他會好好面對 是檢警都要拘提了 當然要面對 你要自首 早該第一波 就可以出來了 還在得過且過……']"
1,86,1_沒自首_5月調查閃兵藝人_負責_上有很大的問題,"['沒自首', '5月調查閃兵藝人', '負責', '上有很大的問題', '逃兵男藝人', '自首了', '為了不助長犯罪環境', '給你兩次改過自新的機會', '第三次直接被抓', '真的就沒什麼好說了']","['實際上給逃兵藝人兩次機會了 5月調查閃兵藝人，沒自首 內政部長發通知單，沒自首 第三次直接被抓 給你兩次改過自新的機會，卻沒勇敢自首、負責。 逃兵男藝人「 人格 」上有很大的問題。 已經給兩次機會自首，自首了，大家或許網開一面再給你一次機會。 但如今是直接被抓，真的就沒什麼好說了，只能從螢幕上消失。 如果往後他們復出，那台灣人的問題就很大了，台灣人等同於支持犯罪。 為了不助長犯罪環境，應該效仿韓國直接淘汰劣跡藝人。', '實際上給逃兵藝人兩次機會了 5月調查閃兵藝人，沒自首 內政部長發通知單，沒自首 第三次直接被抓 給你兩次改過自新的機會，卻沒勇敢自首、負責。 逃兵男藝人「 人格 」上有很大的問題。 已經給兩次機會自首，自首了，大家或許網開一面再給你一次機會。 但如今是直接被抓，真的就沒什麼好說了，只能從螢幕上消失。 如果往後他們復出，那台灣人的問題就很大了，台灣人等同於支持犯罪。 為了不助長犯罪環境，應該效仿韓國直接淘汰劣跡藝人。', '實際上給逃兵藝人兩次機會了 5月調查閃兵藝人，沒自首 內政部長發通知單，沒自首 第三次直接被抓 給你兩次改過自新的機會，卻沒勇敢自首、負責。 逃兵男藝人「 人格 」上有很大的問題。 已經給兩次機會自首，自首了，大家或許網開一面再給你一次機會。 但如今是直接被抓，真的就沒什麼好說了，只能從螢幕上消失。 如果往後他們復出，那台灣人的問題就很大了，台灣人等同於支持犯罪。 為了不助長犯罪環境，應該效仿韓國直接淘汰劣跡藝人。']"
2,90,2_作者_修杰楷怎麼好意思讓老婆出來坦_但認罪的是書偉_他就是造假地中海貧血,"['作者', '修杰楷怎麼好意思讓老婆出來坦', '但認罪的是書偉', '他就是造假地中海貧血', '應該很難', '做好心理準備', '這會讓我覺得粉絲裡面還是有很多有原則的人', '當然認為可以僥倖該受到懲罰', '有幾分事實說幾分話', '謝謝你理智看待']","['· 作者 😞😞', '· 作者 😞😞', '· 作者 啊～～～～🎵']"
3,90,3_net_ettoday_news_認了,"['net', 'ettoday', 'news', '認了', '修杰楷', '30萬裝高血壓', '棒棒堂小杰坦承閃兵', '各花15萬', 'energy書偉', 'energy還有棒棒堂成員免服兵役']","['今天起訴12人！ ettoday.net/news…  2 / 2 ettoday.net 裝高血壓閃兵！修杰楷、坤達、陳柏霖、書偉、小杰遭「求刑2年8月」 | ETtoday社會新聞 | ETtoday新聞雲', '今天起訴12人！ ettoday.net/news…  2 / 2 ettoday.net 裝高血壓閃兵！修杰楷、坤達、陳柏霖、書偉、小杰遭「求刑2年8月」 | ETtoday社會新聞 | ETtoday新聞雲', '今天起訴12人！ ettoday.net/news…  2 / 2 ettoday.net 裝高血壓閃兵！修杰楷、坤達、陳柏霖、書偉、小杰遭「求刑2年8月」 | ETtoday社會新聞 | ETtoday新聞雲']"
4,70,4_他一個人搞出了滿滿的逃兵大平台_這一切都要感謝王大陸_偶像_不愧是藝人每個都很會演,"['他一個人搞出了滿滿的逃兵大平台', '這一切都要感謝王大陸', '偶像', '不愧是藝人每個都很會演', '全部我只相信他的說', '很會講', '原來大家都誤會他了', '如果他是自首我就挺他', '那開刀是什麼', '結果騙最大嗎']","['這一切都要感謝王大陸，他一個人搞出了滿滿的逃兵大平台！偶像🤩', '這一切都要感謝王大陸，他一個人搞出了滿滿的逃兵大平台！偶像🤩', '這一切都要感謝王大陸，他一個人搞出了滿滿的逃兵大平台！偶像🤩']"
5,73,5_並以當兵為榮的優質台灣男之外_一堆人還幫他們帶風向_到底幹嘛把自己的未來交到這些逃避責任的男人身上_重點是還有男的幫這種人說話,"['並以當兵為榮的優質台灣男之外', '一堆人還幫他們帶風向', '到底幹嘛把自己的未來交到這些逃避責任的男人身上', '重點是還有男的幫這種人說話', '所以台灣女人現在不婚不生是正確的', '撇除那些實實在在完成兵役', '我必須說', '我真的覺得某些台灣人病了', '誰會信', '要說這種男的多有責任感']","['重點是還有男的幫這種人說話，唉.....台灣男人真的是快沒救了，撇除那些實實在在完成兵役、並以當兵為榮的優質台灣男之外，現在一堆男的現在就是都抱持這種心態在逃兵的，我必須說，學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔 ＾＾要說這種男的多有責任感，誰會信= = 所以台灣女人現在不婚不生是正確的，到底幹嘛把自己的未來交到這些逃避責任的男人身上', '重點是還有男的幫這種人說話，唉.....台灣男人真的是快沒救了，撇除那些實實在在完成兵役、並以當兵為榮的優質台灣男之外，現在一堆男的現在就是都抱持這種心態在逃兵的，我必須說，學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔 ＾＾要說這種男的多有責任感，誰會信= = 所以台灣女人現在不婚不生是正確的，到底幹嘛把自己的未來交到這些逃避責任的男人身上', '重點是還有男的幫這種人說話，唉.....台灣男人真的是快沒救了，撇除那些實實在在完成兵役、並以當兵為榮的優質台灣男之外，現在一堆男的現在就是都抱持這種心態在逃兵的，我必須說，學生黨真的一堆都在想著要怎麼把自己搞到身體有問題來逃避跟閃兵喔 ＾＾要說這種男的多有責任感，誰會信= = 所以台灣女人現在不婚不生是正確的，到底幹嘛把自己的未來交到這些逃避責任的男人身上']"
6,69,6_查看動態_熱門_張書偉_267,"['查看動態', '熱門', '張書偉', '267', '619', '255', '王大陸', '沒人自首', '道歉', '修杰楷和賈靜雯還沒針對造謠']","['張書偉已經承認花十五萬偽造地中海貧血逃兵，他們的歌我聽很多年，也為ENERGY寫過很多文章，我為他們中年之後和好並復合感動，但是涉於犯罪，我站在中立立場，別說什麼孰能無過，每個人都會做錯，但不是每個人都會犯法，這句話不適合用在犯法的事情上，也別說當時經紀公司操作，在那個年代不是所有人都選擇這個方式，即便是礙於經紀公司，之前王大陸閃兵事件一連串爆發後，為什麼不自首？陳柏霖甚至還說在等警察來，小杰更不用說，他看著同團威廉被封殺到沒收入，他也還是不自首，關於今天甚至以後被抓的藝人，我沒有同情，粉絲當然可以力挺到底，但是請拿出做人的底線，不要盲目幫他們找一大堆藉口，錯了就是承擔後果，勇敢認錯負責，改過自新，重新再來過我都覺得很好，我剛去看了粉絲留言，我沒什麼評論，我也沒後悔我為他們寫過那麼多文章，我是因為他們的感情而寫，坤達氣胸開過刀，我願意相信他是無辜，在我的立場，就算是我的偶像，犯錯我也不會挺，人品對我比他的外表、才華、努力都更重要，其他人如果也有付錢閃兵，我真的希望勇於承認比警察上門來得令人尊重。 反正都肯定交保，重要的是犯後態度 粉絲要來譙我請便，我只講我認為對的話，相信我覺得對的事情 220 69 2 18 熱門 查看動態', '張書偉已經承認花十五萬偽造地中海貧血逃兵，他們的歌我聽很多年，也為ENERGY寫過很多文章，我為他們中年之後和好並復合感動，但是涉於犯罪，我站在中立立場，別說什麼孰能無過，每個人都會做錯，但不是每個人都會犯法，這句話不適合用在犯法的事情上，也別說當時經紀公司操作，在那個年代不是所有人都選擇這個方式，即便是礙於經紀公司，之前王大陸閃兵事件一連串爆發後，為什麼不自首？陳柏霖甚至還說在等警察來，小杰更不用說，他看著同團威廉被封殺到沒收入，他也還是不自首，關於今天甚至以後被抓的藝人，我沒有同情，粉絲當然可以力挺到底，但是請拿出做人的底線，不要盲目幫他們找一大堆藉口，錯了就是承擔後果，勇敢認錯負責，改過自新，重新再來過我都覺得很好，我剛去看了粉絲留言，我沒什麼評論，我也沒後悔我為他們寫過那麼多文章，我是因為他們的感情而寫，坤達氣胸開過刀，我願意相信他是無辜，在我的立場，就算是我的偶像，犯錯我也不會挺，人品對我比他的外表、才華、努力都更重要，其他人如果也有付錢閃兵，我真的希望勇於承認比警察上門來得令人尊重。 反正都肯定交保，重要的是犯後態度 粉絲要來譙我請便，我只講我認為對的話，相信我覺得對的事情 220 69 2 18 熱門 查看動態', '張書偉已經承認花十五萬偽造地中海貧血逃兵，他們的歌我聽很多年，也為ENERGY寫過很多文章，我為他們中年之後和好並復合感動，但是涉於犯罪，我站在中立立場，別說什麼孰能無過，每個人都會做錯，但不是每個人都會犯法，這句話不適合用在犯法的事情上，也別說當時經紀公司操作，在那個年代不是所有人都選擇這個方式，即便是礙於經紀公司，之前王大陸閃兵事件一連串爆發後，為什麼不自首？陳柏霖甚至還說在等警察來，小杰更不用說，他看著同團威廉被封殺到沒收入，他也還是不自首，關於今天甚至以後被抓的藝人，我沒有同情，粉絲當然可以力挺到底，但是請拿出做人的底線，不要盲目幫他們找一大堆藉口，錯了就是承擔後果，勇敢認錯負責，改過自新，重新再來過我都覺得很好，我剛去看了粉絲留言，我沒什麼評論，我也沒後悔我為他們寫過那麼多文章，我是因為他們的感情而寫，坤達氣胸開過刀，我願意相信他是無辜，在我的立場，就算是我的偶像，犯錯我也不會挺，人品對我比他的外表、才華、努力都更重要，其他人如果也有付錢閃兵，我真的希望勇於承認比警察上門來得令人尊重。 反正都肯定交保，重要的是犯後態度 粉絲要來譙我請便，我只講我認為對的話，相信我覺得對的事情 220 69 2 18 熱門 查看動態']"
7,56,7_也拒絕這種為逃兵藝人洗白的話術_永遠抵制王大陸_請不要娛樂化他長期勾結犯罪集團詐騙逃兵的行為_又蠢又邪惡,"['也拒絕這種為逃兵藝人洗白的話術', '永遠抵制王大陸', '請不要娛樂化他長期勾結犯罪集團詐騙逃兵的行為', '又蠢又邪惡', '事實證明', '而且', '王大陸這傢伙是個會出賣朋友的人', '王大陸這肉粽頭讓檢察官ㄧ直北風北連不完', '王大陸這個已經不是線頭了', '孤注一擲還沒下戲']","['王大陸教唆人暴力造成重傷害，又蠢又邪惡，一點也不好笑。請不要娛樂化他長期勾結犯罪集團詐騙逃兵的行為。永遠抵制王大陸，也拒絕這種為逃兵藝人洗白的話術。', '王大陸教唆人暴力造成重傷害，又蠢又邪惡，一點也不好笑。請不要娛樂化他長期勾結犯罪集團詐騙逃兵的行為。永遠抵制王大陸，也拒絕這種為逃兵藝人洗白的話術。', '王大陸教唆人暴力造成重傷害，又蠢又邪惡，一點也不好笑。請不要娛樂化他長期勾結犯罪集團詐騙逃兵的行為。永遠抵制王大陸，也拒絕這種為逃兵藝人洗白的話術。']"
8,56,8_再然後都忘記當初的牽線人_一定牽扯到了什麼_然後才承認當初的錯誤_最強的身體,"['再然後都忘記當初的牽線人', '一定牽扯到了什麼', '然後才承認當初的錯誤', '最強的身體', '很怪的事是他們全都寧願被拘提', '整個影視圈結構也是腐爛的可以', '承認當初為什麼偽造', 'be', 'youtu', 'youtube']","['很怪的事是他們全都寧願被拘提，然後才承認當初的錯誤，承認當初為什麼偽造，再然後都忘記當初的牽線人？ 一定牽扯到了什麼，整個影視圈結構也是腐爛的可以。', '很怪的事是他們全都寧願被拘提，然後才承認當初的錯誤，承認當初為什麼偽造，再然後都忘記當初的牽線人？ 一定牽扯到了什麼，整個影視圈結構也是腐爛的可以。', '很怪的事是他們全都寧願被拘提，然後才承認當初的錯誤，承認當初為什麼偽造，再然後都忘記當初的牽線人？ 一定牽扯到了什麼，整個影視圈結構也是腐爛的可以。']"
9,53,9_660_461_他平台比較大當然價錢會比較貴_他整個很盤子耶,"['660', '461', '他平台比較大當然價錢會比較貴', '他整個很盤子耶', '311', '人家都是10萬15萬', '畢竟他付了超級冤大頭的360萬wwwwwwwwww', '陳柏霖10萬', '為什麼王先生是360萬呀', '王中國花360w']","['陳柏霖10萬 修杰楷15萬 書偉15萬 小杰30萬 我真的覺得不能怪王大陸把這串粽子都拉出來，畢竟他付了超級冤大頭的360萬wwwwwwwwww 3.8 萬 311 461 2,660 熱門 查看動態', '陳柏霖10萬 修杰楷15萬 書偉15萬 小杰30萬 我真的覺得不能怪王大陸把這串粽子都拉出來，畢竟他付了超級冤大頭的360萬wwwwwwwwww 3.8 萬 311 461 2,660 熱門 查看動態', '陳柏霖10萬 修杰楷15萬 書偉15萬 小杰30萬 我真的覺得不能怪王大陸把這串粽子都拉出來，畢竟他付了超級冤大頭的360萬wwwwwwwwww 3.8 萬 311 461 2,660 熱門 查看動態']"
10,46,10_cna_坤達承認閃兵了_com_tw,"['cna', '坤達承認閃兵了', 'com', 'tw', '中央社', '我比較想知道', '以為自己不會被抓', '他不是還開刀嗎', '這絕對是上策了', '阿坤達都認罪了']","['cna.com.tw/news… 更新一下 cna.com.tw 坤達道歉認躲兵役\u3000取消工作提前返台配合調查 | 社會 | 中央社 CNA', '事情發生的當下我忍住了眼淚 直到坤達說一句 不好意思..讓很多人對我失望 從那刻起我想跟你說失望一定會有的 但不離不棄的支持你 在背後默默的等你才是最重要的 達達我們大家都會等你把事情處理好 等你恢復到最好的狀態 等你找回在這之前的笑容 達哥承認了年輕時犯的錯 現在也願意負起責任 會全力配合檢調單位 達哥也在承認後跟很多人對他失望的人道歉 也跟擔心他的人道歉了 他不管是在戲劇方面綜藝方面 甚至各個方面都是零負評是個很優秀的人 再給達哥一次機會👍🏻 達哥值得我們繼續支持繼續喜歡的🫶🏻 我們都會等你回來的 謝坤達❤️😎加油 這是我每次出席活動看到的達哥❤️💙  1 / 2 1,836 74 11 34 熱門 查看動態', '事情發生的當下我忍住了眼淚 直到坤達說一句 不好意思..讓很多人對我失望 從那刻起我想跟你說失望一定會有的 但不離不棄的支持你 在背後默默的等你才是最重要的 達達我們大家都會等你把事情處理好 等你恢復到最好的狀態 等你找回在這之前的笑容 達哥承認了年輕時犯的錯 現在也願意負起責任 會全力配合檢調單位 達哥也在承認後跟很多人對他失望的人道歉 也跟擔心他的人道歉了 他不管是在戲劇方面綜藝方面 甚至各個方面都是零負評是個很優秀的人 再給達哥一次機會👍🏻 達哥值得我們繼續支持繼續喜歡的🫶🏻 我們都會等你回來的 謝坤達❤️😎加油 這是我每次出席活動看到的達哥❤️💙  1 / 2 1,836 74 11 34 熱門 查看動態']"
11,38,11_energy_補一個_兩個成員閃兵被抓怎麼還好意思開演唱會啊_明年小巨蛋演唱會如期舉辦,"['energy', '補一個', '兩個成員閃兵被抓怎麼還好意思開演唱會啊', '明年小巨蛋演唱會如期舉辦', '通貨膨脹', '結果呢', '這些年來這兩個台灣男團一直信誓旦旦說沒有閃兵', '威廉', '說謊男團', '王大陸比較後期了']","['新一波閃兵名單出爐。 修杰楷、陳柏霖、Energy的書偉、坤達都被抓出來⋯⋯ 不懂怎麼過了這麼多年才在抓？ Energy不會準備要團滅吧？ 這是屬於5566的勝利！ 然後陳柏霖竟然只花10萬就閃兵，CP值好高，王大陸根本被當盤仔。 看到這種老藝人名單，不禁開始擔心我們家想祥，想祥不會有事吧？ 希望檢調單位相信想祥的清白，他只是一個47歲，喜歡空ㄍㄢˋ的大男孩而已。 2,243 125 10 73 熱門 查看動態', '新一波閃兵名單出爐。 修杰楷、陳柏霖、Energy的書偉、坤達都被抓出來⋯⋯ 不懂怎麼過了這麼多年才在抓？ Energy不會準備要團滅吧？ 這是屬於5566的勝利！ 然後陳柏霖竟然只花10萬就閃兵，CP值好高，王大陸根本被當盤仔。 看到這種老藝人名單，不禁開始擔心我們家想祥，想祥不會有事吧？ 希望檢調單位相信想祥的清白，他只是一個47歲，喜歡空ㄍㄢˋ的大男孩而已。 2,243 125 10 73 熱門 查看動態', '新一波閃兵名單出爐。 修杰楷、陳柏霖、Energy的書偉、坤達都被抓出來⋯⋯ 不懂怎麼過了這麼多年才在抓？ Energy不會準備要團滅吧？ 這是屬於5566的勝利！ 然後陳柏霖竟然只花10萬就閃兵，CP值好高，王大陸根本被當盤仔。 看到這種老藝人名單，不禁開始擔心我們家想祥，想祥不會有事吧？ 希望檢調單位相信想祥的清白，他只是一個47歲，喜歡空ㄍㄢˋ的大男孩而已。 2,243 125 10 73 熱門 查看動態']"
12,41,12_陳柏霖_一堆看起來是男的帳號也在護航_但還不達免役_十月被上銬才說會反省,"['陳柏霖', '一堆看起來是男的帳號也在護航', '但還不達免役', '十月被上銬才說會反省', '修杰楷達不到免役', '他是用假資料', '用高血壓拿到替代役', '要新增最可惡第三', '謝坤達跟修杰楷', '謝的確氣胸過']","['謝坤達跟修杰楷，我覺得是最過分的兩個。 謝的確氣胸過，有引流手術，但還不達免役。他是用假資料（高血壓）申請免疫，然後對外宣稱氣胸免役，騙國家又騙社會大眾。 修杰楷達不到免役，用高血壓拿到替代役，還要叫賈靜雯懷孕好用家有幼兒提早離席。 這群人，五月被通知，十月被上銬才說會反省。有一些帳號很奇怪，都幾第幾天了還在糾結藝人被上銬。迷妹瞎護航也就算了，一堆看起來是男的帳號也在護航。 我就問，哪個正常服役的看他們被抓會心疼的？ 護航的八成自己也逃兵，怕自己被上銬吧！ 要新增最可惡第三：陳柏霖 用高血壓逃兵，對外說氣喘', '謝坤達跟修杰楷，我覺得是最過分的兩個。 謝的確氣胸過，有引流手術，但還不達免役。他是用假資料（高血壓）申請免疫，然後對外宣稱氣胸免役，騙國家又騙社會大眾。 修杰楷達不到免役，用高血壓拿到替代役，還要叫賈靜雯懷孕好用家有幼兒提早離席。 這群人，五月被通知，十月被上銬才說會反省。有一些帳號很奇怪，都幾第幾天了還在糾結藝人被上銬。迷妹瞎護航也就算了，一堆看起來是男的帳號也在護航。 我就問，哪個正常服役的看他們被抓會心疼的？ 護航的八成自己也逃兵，怕自己被上銬吧！ 要新增最可惡第三：陳柏霖 用高血壓逃兵，對外說氣喘', '謝坤達跟修杰楷，我覺得是最過分的兩個。 謝的確氣胸過，有引流手術，但還不達免役。他是用假資料（高血壓）申請免疫，然後對外宣稱氣胸免役，騙國家又騙社會大眾。 修杰楷達不到免役，用高血壓拿到替代役，還要叫賈靜雯懷孕好用家有幼兒提早離席。 這群人，五月被通知，十月被上銬才說會反省。有一些帳號很奇怪，都幾第幾天了還在糾結藝人被上銬。迷妹瞎護航也就算了，一堆看起來是男的帳號也在護航。 我就問，哪個正常服役的看他們被抓會心疼的？ 護航的八成自己也逃兵，怕自己被上銬吧！ 要新增最可惡第三：陳柏霖 用高血壓逃兵，對外說氣喘']"
